1,0
1,48
2,46
3,50
4,56
5,55
6,55
7,55
8,56
9,59
10,57
11,56
12,61
13,65
14,56
15,59
16,61
17,57
18,60
19,63
20,59
21,60
22,57
23,60
24,55
25,58
26,59
27,60
28,63
29,58
30,63
31,62
32,59
33,62
34,60
35,57
36,61
37,61
38,60
39,64
40,58
41,59
42,59
43,61
44,60
45,60
46,61
47,58
48,60
49,58
50,59
51,58
52,59
53,56
54,61
55,57
56,56
57,59
58,58
59,59
60,58
61,58
62,58
63,58
64,57
65,61
66,56
67,60
68,58
69,61
70,57
71,57
72,59
73,63
74,57
75,58
76,59
77,57
78,62
79,59
80,61
81,58
82,60
83,57
84,58
85,57
86,55
87,57
88,64
89,57
90,61
91,58
92,57
93,60
94,58
95,58
96,60
97,61
98,59
99,60
100,58
101,59
102,59
103,58
104,52
104,52
